,number,value,datetime_start,datetime_complete,duration,params_activation_l0,params_activation_l1,params_activation_l2,params_lr,params_n_units_l0,params_n_units_l1,params_n_units_l2,state
66,66,0.04985278099775314,2024-07-25 13:53:26.592549,2024-07-25 13:53:50.913618,0 days 00:00:24.321069,elu,tanh,sigmoid,0.00011455197642075687,637,598,826,COMPLETE
67,67,0.050149738788604736,2024-07-25 13:53:50.915774,2024-07-25 13:54:16.786670,0 days 00:00:25.870896,elu,tanh,sigmoid,0.00015636739819732229,682,474,970,COMPLETE
68,68,0.054532911628484726,2024-07-25 13:54:16.788742,2024-07-25 13:54:41.812026,0 days 00:00:25.023284,tanh,tanh,sigmoid,0.00011879287627114905,811,325,855,COMPLETE
69,69,0.08928088843822479,2024-07-25 13:54:41.813874,2024-07-25 13:55:07.143592,0 days 00:00:25.329718,elu,tanh,tanh,0.00015379016679117902,899,413,941,COMPLETE
70,70,0.17548955976963043,2024-07-25 13:55:07.145732,2024-07-25 13:55:33.430762,0 days 00:00:26.285030,elu,elu,sigmoid,0.005436634314706102,699,536,816,COMPLETE
71,71,0.05330165848135948,2024-07-25 13:55:33.432905,2024-07-25 13:56:01.078610,0 days 00:00:27.645705,elu,tanh,sigmoid,0.00019372559268756911,855,589,923,COMPLETE
72,72,0.05218036100268364,2024-07-25 13:56:01.080707,2024-07-25 13:56:27.290231,0 days 00:00:26.209524,elu,tanh,sigmoid,0.00022646365846987584,752,472,895,COMPLETE
73,73,0.044469695538282394,2024-07-25 13:56:27.292400,2024-07-25 13:56:52.936324,0 days 00:00:25.643924,elu,tanh,sigmoid,0.0001198074107058654,921,667,973,COMPLETE
74,74,0.047456469386816025,2024-07-25 13:56:52.942887,2024-07-25 13:57:17.654192,0 days 00:00:24.711305,elu,tanh,sigmoid,0.00011920991979013601,924,517,1022,COMPLETE
75,75,0.055812038481235504,2024-07-25 13:57:17.656207,2024-07-25 13:57:43.322789,0 days 00:00:25.666582,elu,tanh,sigmoid,0.0001488834227241491,932,558,378,COMPLETE
76,76,0.06351705640554428,2024-07-25 13:57:43.324826,2024-07-25 13:58:09.008630,0 days 00:00:25.683804,sigmoid,tanh,sigmoid,0.00012079911734057467,895,512,989,COMPLETE
77,77,0.057822585105895996,2024-07-25 13:58:09.010711,2024-07-25 13:58:31.895522,0 days 00:00:22.884811,elu,tanh,elu,0.00011742010754475325,987,641,776,COMPLETE
78,78,0.052393633872270584,2024-07-25 13:58:31.897801,2024-07-25 13:58:54.967353,0 days 00:00:23.069552,elu,tanh,sigmoid,0.00017499245937420055,840,384,966,COMPLETE
79,79,0.05060216784477234,2024-07-25 13:58:54.969332,2024-07-25 13:59:18.816046,0 days 00:00:23.846714,elu,tanh,sigmoid,0.0002676465269202867,789,432,852,COMPLETE
80,80,0.04999134689569473,2024-07-25 13:59:18.818249,2024-07-25 13:59:41.353098,0 days 00:00:22.534849,tanh,tanh,sigmoid,0.00014177831154568035,883,618,944,COMPLETE
81,81,0.048092421144247055,2024-07-25 13:59:41.355412,2024-07-25 14:00:06.978240,0 days 00:00:25.622828,elu,tanh,sigmoid,0.00010129066268049925,912,481,1021,COMPLETE
82,82,0.049006134271621704,2024-07-25 14:00:06.980321,2024-07-25 14:00:30.547833,0 days 00:00:23.567512,elu,tanh,sigmoid,0.0001242855882155932,921,522,1024,COMPLETE
83,83,0.04564223811030388,2024-07-25 14:00:30.549963,2024-07-25 14:00:56.388645,0 days 00:00:25.838682,elu,tanh,sigmoid,0.00010085667709840957,826,559,976,COMPLETE
84,84,0.05244830995798111,2024-07-25 14:00:56.390813,2024-07-25 14:01:22.678757,0 days 00:00:26.287944,elu,tanh,sigmoid,0.0001030543951289941,815,548,988,COMPLETE
85,85,0.043592266738414764,2024-07-25 14:01:22.680832,2024-07-25 14:01:47.783783,0 days 00:00:25.102951,elu,tanh,sigmoid,0.00010046392925883162,883,581,976,COMPLETE
86,86,0.049352698028087616,2024-07-25 14:01:47.790223,2024-07-25 14:02:13.676590,0 days 00:00:25.886367,elu,sigmoid,sigmoid,0.00011478415895421222,862,563,920,COMPLETE
87,87,0.07603494077920914,2024-07-25 14:02:13.678676,2024-07-25 14:02:39.572185,0 days 00:00:25.893509,elu,tanh,tanh,0.00014102906924816334,508,1017,972,COMPLETE
88,88,0.049090560525655746,2024-07-25 14:02:39.574227,2024-07-25 14:03:05.523965,0 days 00:00:25.949738,elu,tanh,sigmoid,0.00012877983517270615,843,589,885,COMPLETE
89,89,0.049882303923368454,2024-07-25 14:03:05.526042,2024-07-25 14:03:32.307662,0 days 00:00:26.781620,elu,tanh,sigmoid,0.00015910848757666362,732,511,945,COMPLETE
90,90,0.056150615215301514,2024-07-25 14:03:32.309780,2024-07-25 14:03:56.820295,0 days 00:00:24.510515,elu,tanh,sigmoid,0.00011482381198995666,231,615,999,COMPLETE
91,91,0.04903142526745796,2024-07-25 14:03:56.822519,2024-07-25 14:04:21.621912,0 days 00:00:24.799393,elu,tanh,sigmoid,0.00010167004029535496,886,462,1005,COMPLETE
92,92,0.04887869954109192,2024-07-25 14:04:21.624009,2024-07-25 14:04:47.904569,0 days 00:00:26.280560,elu,tanh,sigmoid,0.00013604840901503457,931,488,909,COMPLETE
93,93,0.061211030930280685,2024-07-25 14:04:47.906709,2024-07-25 14:05:13.608655,0 days 00:00:25.701946,elu,tanh,sigmoid,0.00011138596924918091,907,442,970,COMPLETE
94,94,0.04731317237019539,2024-07-25 14:05:13.610700,2024-07-25 14:05:39.558331,0 days 00:00:25.947631,elu,tanh,sigmoid,0.00012541765015165184,963,656,934,COMPLETE
95,95,0.0471096970140934,2024-07-25 14:05:39.560434,2024-07-25 14:06:05.815471,0 days 00:00:26.255037,elu,tanh,sigmoid,0.0001260958882388543,965,656,933,COMPLETE
96,96,0.0810287818312645,2024-07-25 14:06:05.817621,2024-07-25 14:06:31.885536,0 days 00:00:26.067915,sigmoid,elu,sigmoid,0.00014956914966442132,967,664,938,COMPLETE
97,97,0.05758587270975113,2024-07-25 14:06:31.887664,2024-07-25 14:06:58.035935,0 days 00:00:26.148271,elu,tanh,elu,0.00018466765692397576,1012,689,868,COMPLETE
98,98,0.07829233258962631,2024-07-25 14:06:58.038081,2024-07-25 14:07:24.235966,0 days 00:00:26.197885,elu,tanh,sigmoid,0.0005595292609110999,991,653,953,COMPLETE
99,99,0.05096287280321121,2024-07-25 14:07:24.238011,2024-07-25 14:07:51.099077,0 days 00:00:26.861066,elu,tanh,sigmoid,0.00012739972454165328,945,701,979,COMPLETE
